SPCD,COMMON_NAME,GENUS,SPECIES,SPECIES_SYMBOL,SCI_SPEICES,TYPE
420,CHESTNUT SPP.,CASTANEA,SPP.,CASTA,CASTANEA SPP.,DECIDUOUS
421,AMERICAN CHESTNUT,CASTANEA,DENTATA,CADE12,CASTANEA DENTATA,DECIDUOUS
422,ALLEGHENY CHINKAPIN,CASTANEA,PUMILA,CAPU9,CASTANEA PUMILA,DECIDUOUS
423,OZARK CHINKAPIN,CASTANEA,PUMILA,CAPUO,CASTANEA PUMILA,DECIDUOUS
424,CHINESE CHESTNUT,CASTANEA,MOLLISSIMA,CAMO83,CASTANEA MOLLISSIMA,DECIDUOUS
431,"GIANT CHINKAPIN, GOLDEN CHINKAPIN",CHRYSOLEPIS,CHRYSOPHYLLA,CHCHC4,CHRYSOLEPIS CHRYSOPHYLLA,DECIDUOUS
450,CATALPA SPP.,CATALPA,SPP.,CATAL,CATALPA SPP.,DECIDUOUS
451,SOUTHERN CATALPA,CATALPA,BIGNONIOIDES,CABI8,CATALPA BIGNONIOIDES,DECIDUOUS
452,NORTHERN CATALPA,CATALPA,SPECIOSA,CASP8,CATALPA SPECIOSA,DECIDUOUS
460,HACKBERRY SPP.,CELTIS,SPP.,CELTI,CELTIS SPP.,DECIDUOUS
461,SUGARBERRY,CELTIS,LAEVIGATA,CELA,CELTIS LAEVIGATA,DECIDUOUS
462,HACKBERRY,CELTIS,OCCIDENTALIS,CEOC,CELTIS OCCIDENTALIS,DECIDUOUS
463,NETLEAF HACKBERRY,CELTIS,LAEVIGATA,CELAR,CELTIS LAEVIGATA,DECIDUOUS
471,EASTERN REDBUD,CERCIS,CANADENSIS,CECA4,CERCIS CANADENSIS,DECIDUOUS
475,CURLLEAF MOUNTAIN-MAHOGANY,CERCOCARPUS,LEDIFOLIUS,CELE3,CERCOCARPUS LEDIFOLIUS,DECIDUOUS
481,YELLOWWOOD,CLADRASTIS,KENTUKEA,CLKE,CLADRASTIS KENTUKEA,DECIDUOUS
490,DOGWOOD SPP.,CORNUS,SPP.,CORNU,CORNUS SPP.,DECIDUOUS
491,FLOWERING DOGWOOD,CORNUS,FLORIDA,COFL2,CORNUS FLORIDA,DECIDUOUS
492,PACIFIC DOGWOOD,CORNUS,NUTTALLII,CONU4,CORNUS NUTTALLII,DECIDUOUS
500,HAWTHORN SPP.,CRATAEGUS,SPP.,CRATA,CRATAEGUS SPP.,DECIDUOUS
501,COCKSPUR HAWTHORN,CRATAEGUS,CRUS-GALLI,CRCR2,CRATAEGUS CRUS-GALLI,DECIDUOUS
502,DOWNY HAWTHORN,CRATAEGUS,MOLLIS,CRMO2,CRATAEGUS MOLLIS,DECIDUOUS
503,BRAINERD'S HAWTHORN,CRATAEGUS,BRAINERDII,CRBR3,CRATAEGUS BRAINERDII,DECIDUOUS
